geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state
2178,-23.519838404668437,-46.57027290507246,são paulo,SP
2179,-23.51950161226844,-46.567310496104845,sao paulo,SP
2141,-23.489125655104345,-46.57563101727822,são paulo,SP
2223,-23.47872104025041,-46.58108916028048,sao paulo,SP
2235,-23.479438693865774,-46.5790147857349,sao paulo,SP
2274,-23.46824404524207,-46.585030834727874,sao paulo,SP
2265,-23.47651943519532,-46.59554967707312,são paulo,SP
2242,-23.488133029141903,-46.60765995712386,sao paulo,SP
2258,-23.47623536441803,-46.58210664723873,sao paulo,SP
2216,-23.494534007655435,-46.5778358295101,sao paulo,SP
2252,-23.479316999999995,-46.5904340471753,sao paulo,SP
2374,-23.456465580904837,-46.62058099668178,sao paulo,SP
2319,-23.4501707149576,-46.58967746502972,são paulo,SP
2306,-23.45244942270184,-46.60149895934556,sao paulo,SP
2358,-23.446391134052757,-46.609487837497824,sao paulo,SP
2350,-23.459346031363605,-46.60929309103239,sao paulo,SP
2332,-23.486316464337214,-46.62224366625309,sao paulo,SP
2376,-23.458526276992316,-46.62665931349181,sao paulo,SP
2362,-23.638582820562608,-46.60817566849105,sao paulo,SP
2310,-23.4719444074384,-46.59864459256161,sao paulo,SP
2307,-23.48287504884874,-46.60800472883605,sao paulo,SP
2336,-23.48058427061568,-46.61935382292688,são paulo,SP
2442,-23.473211060505506,-46.64329769969416,sao paulo,SP
2401,-23.4860583141843,-46.62819903649949,sao paulo,SP
2461,-23.49353250403937,-46.63842778172417,sao paulo,SP
2418,-23.470718940879472,-46.63127566403139,são paulo,SP
2408,-23.48192669608748,-46.62646540521669,sao paulo,SP
2522,-23.50302551457095,-46.656351,sao paulo,SP
2537,-23.49266694338963,-46.649278230509495,sao paulo,SP
2616,-23.466439467107183,-46.655328676669086,sao paulo,SP
2613,-23.472582799613345,-46.66107383097695,sao paulo,SP
2634,-23.46016520927345,-46.65066418373822,sao paulo,SP
2631,-23.458643298084144,-46.648254625310194,sao paulo,SP
2730,-23.49719557430815,-46.69127457027672,sao paulo,SP
2751,-23.489584790770785,-46.68192027136849,sao paulo,SP
2755,-23.48851771357262,-46.67941015751051,são paulo,SP
2727,-23.496255366639726,-46.68632056549718,sao paulo,SP
2732,-23.49921095031453,-46.69605218497897,sao paulo,SP
2715,-23.503730489324187,-46.676623363725525,são paulo,SP
2756,-23.484468719400997,-46.67913188051818,sao paulo,SP
2874,-23.45599171357261,-46.67717134248949,sao paulo,SP
2842,-23.473527475157265,-46.68753138481736,sao paulo,SP
2878,-23.450662163194657,-46.68685226741304,sao paulo,SP
2859,-23.44337350375091,-46.70672341326679,são paulo,SP
2989,-23.429807053203387,-46.7211738556802,sao paulo,SP
2998,-23.44062768720067,-46.72250811434592,são paulo,SP
2927,-23.497761456575603,-46.70486136663973,são paulo,SP
2993,-23.45481034070669,-46.73550456694172,sao paulo,SP
2972,-23.48029674271453,-46.71122495337295,sao paulo,SP
2963,-23.485755415382435,-46.70221321730524,sao paulo,SP
2916,-23.488245329634296,-46.72037106432417,sao paulo,SP
2955,-23.468440512490595,-46.72068807496815,sao paulo,SP
3088,-23.52731184179699,-46.56137431473256,sao paulo,SP
3012,-23.540667757429706,-46.6155573687172,sao paulo,SP
3025,-23.53489030252754,-46.60945369747245,sao paulo,SP
3029,-23.528716250620374,-46.62026515958797,sao paulo,SP
3071,-23.533721612268447,-46.562341521640086,sao paulo,SP
3057,-23.54257772745109,-46.59338016847479,sao paulo,SP
3066,-23.53685341271851,-46.57627420191585,sao paulo,SP
3077,-23.52926356396796,-46.577290279358245,sao paulo,SP
3041,-23.548576600323223,-46.62070975812218,sao paulo,SP
3059,-23.54279940605341,-46.595165217323526,sao paulo,SP
3062,-23.54268733028447,-46.59453248320733,sao paulo,SP
3058,-23.54006892207484,-46.59345022487023,sao paulo,SP
3087,-23.5300706924808,-46.56414335887811,sao paulo,SP
3069,-23.535964728836067,-46.56487377462638,sao paulo,SP
3001,-23.54138387625104,-46.6140494458142,sao paulo,SP
3040,-23.550723623891194,-46.622536459849165,sao paulo,SP
3031,-23.52833381848348,-46.61941011172019,sao paulo,SP
3068,-23.537588133504503,-46.56824798211082,sao paulo,SP
3005,-23.54310790980433,-46.62647566250217,sao paulo,SP
3017,-23.532447184574945,-46.61401961463438,sao paulo,SP
3165,-23.56190256174625,-46.58015179808413,sao paulo,SP
3111,-23.558072306116813,-46.60586586856825,sao paulo,SP
3134,-23.58540069658577,-46.58427399775607,sao paulo,SP
3124,-23.56786401832186,-46.59242413059029,sao paulo,SP
3132,-23.5829031448728,-46.583914925875824,sao paulo,SP
3191,-23.56910958090484,-46.57235346003806,sao paulo,SP
3167,-23.55487039661836,-46.5943762934965,são paulo,SP
3106,-23.55770667499565,-46.61476439993657,são paulo,SP
3127,-23.57744523619365,-46.58928864723873,sao paulo,SP
3118,-23.560478444630373,-46.59520402553522,sao paulo,SP
3185,-23.56351781487679,-46.584379697472464,sao paulo,SP
3138,-23.58759692255761,-46.58181527338564,sao paulo,SP
3141,-23.590022776821183,-46.57065833812266,sao paulo,SP
3187,-23.566230979700467,-46.58020347785505,sao paulo,SP
3110,-23.55690614709449,-46.60849426977895,sao paulo,SP
3126,-23.58067325143878,-46.591568341608856,sao paulo,SP
3194,-23.56788988703906,-46.57394821510183,são paulo,SP
3227,-23.58368749624909,-46.5697617485429,sao paulo,SP
3275,-23.58620844962204,-46.53589144310119,sao paulo,SP
3236,-23.594918280599003,-46.5541035925616,são paulo,SP
3220,-23.59081788893495,-46.55126574185525,sao paulo,SP
3211,-23.60262394182404,-46.55136429842682,sao paulo,SP
3265,-23.59436349708581,-46.54121411518264,são paulo,SP
3273,-23.57841833611285,-46.5592068753823,sao paulo,SP
3237,-23.59539756425642,-46.55163738273989,são paulo,SP
3256,-23.61068748542905,-46.52897892423104,sao paulo,SP
3204,-23.59798552039933,-46.55547278711988,sao paulo,SP
3287,-23.59519232500434,-46.53381915834724,são paulo,SP
3258,-23.60852444685208,-46.52510118151653,sao paulo,SP
3350,-23.571550619727677,-46.56516911210353,sao paulo,SP
3318,-23.54446292977097,-46.56591579892085,sao paulo,SP
3343,-23.55990858451152,-46.56932063336026,sao paulo,SP
3345,-23.573423597337367,-46.56044110973281,sao paulo,SP
3362,-23.56531328810082,-46.54358417485143,sao paulo,SP
3386,-23.584168436997302,-46.53066136149352,são paulo,SP
3319,-23.543870857060437,-46.55735807729814,sao paulo,SP
3333,-23.556849999163276,-46.56941527477062,são paulo,SP
3303,-23.545741270669254,-46.5926468408794,sao paulo,SP
3384,-23.57884253067112,-46.52280151387845,sao paulo,SP
3361,-23.577327765191324,-46.52552687454557,sao paulo,SP
3334,-23.554597380692613,-46.57370400298258,sao paulo,SP
3320,-23.547285965837776,-46.56940937552652,sao paulo,SP
3331,-23.545478675515763,-46.58524120407659,são paulo,SP
3378,-23.575139177299555,-46.54103782670819,sao paulo,SP
3370,-23.56799537246812,-46.55762524340702,sao paulo,SP
3306,-23.54250072967277,-46.57631077214489,sao paulo,SP
3477,-23.56753031883281,-46.51205478799173,sao paulo,SP
3476,-23.5706181335045,-46.50933181986844,sao paulo,SP
3426,-23.554079433810344,-46.53324185942636,sao paulo,SP
3470,-23.57282057729816,-46.52329640383172,sao paulo,SP
3438,-23.558979719400995,-46.52731571065843,sao paulo,SP
3417,-23.539685940879476,-46.54635608021235,sao paulo,SP
3431,-23.554133203993324,-46.53048959908248,sao paulo,SP
3471,-23.56625832001269,-46.51841724632121,sao paulo,SP
3480,-23.576447493479133,-46.50490442200933,sao paulo,SP
3513,-23.533151950603,-46.52395517943906,sao paulo,SP
3564,-23.53321650340715,-46.50046729003948,sao paulo,SP
3573,-23.56168119891244,-46.50627110555333,sao paulo,SP
3504,-23.53877907744238,-46.53648566833056,sao paulo,SP
3590,-23.54741871135092,-46.48356109478331,sao paulo,SP
3508,-23.532711024698507,-46.5329695022217,sao paulo,SP
3591,-23.54939647495197,-46.479689025048046,sao paulo,SP
3524,-23.546723196779965,-46.51411745697962,sao paulo,SP
3562,-23.54478975206393,-46.495489292925285,são paulo,SP
3567,-23.54324816985976,-46.48879160352587,sao paulo,SP
3553,-23.53310847016561,-46.50637207660568,sao paulo,SP
3542,-23.53108125950717,-46.51791357132556,sao paulo,SP
3565,-23.536157615875126,-46.49417032944774,sao paulo,SP
3520,-23.548840889809025,-46.523309280598994,sao paulo,SP
3550,-23.53056214071786,-46.50599515084539,sao paulo,SP
3569,-23.541941545934563,-46.49095488842404,sao paulo,SP
3574,-23.5541361268394,-46.51105076686476,sao paulo,SP
3685,-23.52377256527157,-46.47524063467857,sao paulo,SP
3669,-23.53270178351319,-46.4896742164868,são paulo,SP
3613,-23.51845531779098,-46.53268368206479,sao paulo,SP
3647,-23.530828892867447,-46.527533900773285,sao paulo,SP
3654,-23.525103133365025,-46.51764616148771,sao paulo,SP
3660,-23.523945619221767,-46.50583600788512,sao paulo,SP
3605,-23.521211518177623,-46.54688421495761,sao paulo,SP
3648,-23.52667505245542,-46.52515952928614,sao paulo,SP
3638,-23.52870986955392,-46.5417239089676,sao paulo,SP
3667,-23.53204714071786,-46.49681439647412,sao paulo,SP
3655,-23.52399579739165,-46.51294318734492,sao paulo,SP
3707,-23.506898050233723,-46.542727702608346,sao paulo,SP
3729,-23.502989210658427,-46.50349976686476,sao paulo,SP
3758,-23.50582462003006,-46.49857239800334,sao paulo,SP
3733,-23.50914521065843,-46.53066228518663,sao paulo,SP
3725,-23.50123246128435,-46.51905848362164,sao paulo,SP
3702,-23.51674732944774,-46.54818243075192,sao paulo,SP
3804,-23.50271592062436,-46.48299647362806,sao paulo,SP
3880,-23.50869470774424,-46.48672956633388,sao paulo,SP
3821,-23.49517247515727,-46.50119464071786,são paulo,SP
3820,-23.49360109019567,-46.50247661157595,sao paulo,SP
3872,-23.512538179294825,-46.50108112461768,sao paulo,SP
3810,-23.49561368443072,-46.46853447890816,sao paulo,SP
3811,-23.49219983458364,-46.483932860811336,sao paulo,SP
3809,-23.489345713572614,-46.47738070858095,sao paulo,SP
3813,-23.48668357540144,-46.46746268716547,sao paulo,SP
3923,-23.590043924475463,-46.51003716796691,sao paulo,SP
3976,-23.61187194393789,-46.49648901373423,são paulo,SP
3910,-23.58452319555432,-46.51460627909786,sao paulo,SP
3929,-23.606332072162274,-46.488808985429046,sao paulo,SP
3937,-23.58790062753188,-46.501829952680446,são paulo,SP
3951,-23.58353292305826,-46.48957476496762,sao paulo,SP
3963,-23.60932765805877,-46.48329014195862,sao paulo,SP
3978,-23.620711028196062,-46.50502035212637,sao paulo,SP
3933,-23.58343069747245,-46.50203424424373,sao paulo,SP
3908,-23.58359782304825,-46.50714769338705,sao paulo,SP
3909,-23.584944887039057,-46.51220406119799,sao paulo,SP
3971,-23.615020791563268,-46.47934165652957,são paulo,SP
3985,-23.6048076880374,-46.51393544532286,sao paulo,SP
4061,-23.625638863725538,-46.644061536499485,sao paulo,SP
4086,-23.61573639078998,-46.6637504454671,sao paulo,SP
4042,-23.602707503462444,-46.64264399999999,sao paulo,SP
4001,-23.57230126005544,-46.65200020136758,sao paulo,SP
4077,-23.607731734116182,-46.65547065070119,sao paulo,SP
4015,-23.58705433389114,-46.64555835443469,sao paulo,SP
4081,-23.607805934502824,-46.66456328559066,sao paulo,SP
4022,-23.593023,-46.646572500000005,sao paulo,SP
4007,-23.57828270774424,-46.65102362378097,sao paulo,SP
4045,-23.61763890592578,-46.6389807441141,sao paulo,SP
4023,-23.59260141454472,-46.64220514451519,sao paulo,SP
4010,-23.58335776464306,-46.637907987794975,sao paulo,SP
4040,-23.59936558006812,-46.64609756924807,sao paulo,SP
4021,-23.59323136164807,-46.6413766239252,sao paulo,SP
4087,-23.609026190856948,-46.65965657991232,sao paulo,SP
4008,-23.581106936724524,-46.65149797183904,são paulo,SP
4057,-23.607917696635734,-46.64731811780836,são paulo,SP
4075,-23.602705281435725,-46.65748758756995,sao paulo,SP
4112,-23.58742684347044,-46.62893070898499,sao paulo,SP
4141,-23.61041811434591,-46.63263307660568,sao paulo,SP
4145,-23.61565055037796,-46.63205088481735,sao paulo,SP
4119,-23.600995072162263,-46.63496187621901,são paulo,SP
4122,-23.603187216486816,-46.62096322009347,sao paulo,SP
4142,-23.611654194010004,-46.63258761587511,sao paulo,SP
4109,-23.57525436105025,-46.6323139083399,sao paulo,SP
4116,-23.590958301142567,-46.629899428674456,sao paulo,SP
4195,-23.657250175378767,-46.61075944811122,sao paulo,SP
4127,-23.6015555656414,-46.63235157799065,sao paulo,SP
4128,-23.602765475237977,-46.63530842279597,sao paulo,SP
4134,-23.60757354815625,-46.62252191756594,sao paulo,SP
4144,-23.617820807663428,-46.63791917277396,sao paulo,SP
4131,-23.605673521784304,-46.618990239800326,sao paulo,SP
4102,-23.59272363197529,-46.6315844403312,sao paulo,SP
4186,-23.65281620260835,-46.59941026824976,sao paulo,SP
4171,-23.632235999999992,-46.61515349999999,sao paulo,SP
4160,-23.62358155176294,-46.61056007369148,sao paulo,SP
4180,-23.63697817262972,-46.597344244243736,sao paulo,SP
4151,-23.620189610046737,-46.62541139884006,sao paulo,SP
4205,-23.58045999999996,-46.60592999999994,são paulo,SP
4244,-23.62637238995326,-46.591222599226704,sao paulo,SP
4243,-23.626269,-46.586534475523,sao paulo,SP
4273,-23.612052666446743,-46.60783466642034,sao paulo,SP
4222,-23.60221982653356,-46.58613386955392,sao paulo,SP
4288,-23.61010867721736,-46.612242581049074,sao paulo,SP
4206,-23.572466571680312,-46.60558007013957,sao paulo,SP
4211,-23.59634089869583,-46.60747216763807,sao paulo,SP
4230,-23.601843679000368,-46.60023440606268,sao paulo,SP
4208,-23.584614569248075,-46.60193214931619,são paulo,SP
4265,-23.58667354731954,-46.61242320483004,são paulo,SP
4248,-23.61411790980433,-46.60034800222169,sao paulo,SP
4363,-23.64684593421437,-46.6660547231519,sao paulo,SP
4302,-23.621426340267785,-46.637372330976966,sao paulo,SP
4343,-23.63633439439665,-46.64885115015292,sao paulo,SP
4323,-23.652963911189307,-46.6406214672514,sao paulo,SP
4360,-23.643335839027035,-46.66315536095557,sao paulo,SP
4361,-23.6442788484621,-46.66304850360666,sao paulo,SP
4367,-23.65250284762537,-46.66809535567546,são paulo,SP
4347,-23.64502698084141,-46.646226916873445,sao paulo,SP
4378,-23.646246311207523,-46.66349868836885,sao paulo,SP
4335,-23.65970422009349,-46.64247430974089,sao paulo,SP
4315,-23.63708703191186,-46.629297581597314,são paulo,SP
4308,-23.65122827692988,-46.639731778343,sao paulo,SP
4458,-23.691255150152926,-46.67608763849617,sao paulo,SP
4474,-23.53092205635057,-46.555643089243375,sao paulo,SP
4438,-23.67774108964741,-46.66864662392521,sao paulo,SP
4476,-23.713052505361883,-46.61991569705063,sao paulo,SP
4403,-23.667843855675457,-46.66038973120199,sao paulo,SP
4401,-23.670706610046736,-46.66108764570951,sao paulo,SP
4428,-23.684752708292493,-46.648860805297495,sao paulo,SP
4456,-23.68326401970684,-46.67979979808413,sao paulo,SP
4421,-23.6928580013246,-46.63964126947597,sao paulo,SP
4455,-23.678985771856432,-46.678985470858095,sao paulo,SP
4416,-23.675481599064906,-46.63836818219174,sao paulo,SP
4445,-23.68080098473656,-46.6840241297536,sao paulo,SP
4433,-23.687268645283744,-46.65942641180989,sao paulo,SP
4461,-23.69289565500035,-46.68021046531817,sao paulo,SP
4571,-23.61202394892955,-46.695471966703145,sao paulo,SP
4533,-23.583507359974625,-46.67732112031853,sao paulo,SP
4563,-23.607743741329536,-46.68867314348783,são paulo,SP
4543,-23.59120154177962,-46.68781889731084,sao paulo,SP
4542,-23.588898319435764,-46.68312877061568,sao paulo,SP
4531,-23.58048969830917,-46.67331443366609,sao paulo,SP
4562,-23.61199319761669,-46.682858755208,sao paulo,SP
4537,-23.594499367187996,-46.67772056203472,sao paulo,SP
4569,-23.6022825745282,-46.69322772967279,são paulo,SP
4509,-23.590774173466443,-46.67100192576026,sao paulo,SP
4536,-23.581393631058717,-46.681081131915015,sao paulo,SP
4513,-23.59748655063776,-46.66648896572221,são paulo,SP
4561,-23.6119461648681,-46.68121078074323,sao paulo,SP
4556,-23.611487777407536,-46.67771426763211,sao paulo,SP
4567,-23.61424927422236,-46.68844105482136,sao paulo,SP
4657,-23.667041652697392,-46.67496025552495,sao paulo,SP
4662,-23.654302322522845,-46.69065605661037,sao paulo,SP
4617,-23.627568018033404,-46.66308094157195,sao paulo,SP
4618,-23.619501000000003,-46.67681249999998,sao paulo,SP
4615,-23.620032660280465,-46.67092443075191,sao paulo,SP
4696,-23.66897161033521,-46.70251155358061,sao paulo,SP
4608,-23.624881025203365,-46.67540980472951,sao paulo,SP
4674,-23.664255516792647,-46.68857909339831,sao paulo,SP
4616,-23.622274456287144,-46.66992842714524,sao paulo,SP
4763,-23.66900465722205,-46.71802455259966,sao paulo,SP
4776,-23.689300411593344,-46.70065806950787,sao paulo,SP
4773,-23.681542547319527,-46.70780575451552,sao paulo,SP
4714,-23.631758958364607,-46.69967548098564,são paulo,SP
4718,-23.632233590339897,-46.70564659325408,sao paulo,SP
4742,-23.650419321945925,-46.69840379822837,são paulo,SP
4726,-23.63580786663679,-46.71209825910773,sao paulo,SP
4739,-23.64445281409649,-46.70007520249481,sao paulo,SP
4738,-23.64061866639731,-46.69656570788847,sao paulo,SP
4771,-23.680608736886143,-46.71141009824576,sao paulo,SP
4746,-23.66072976183469,-46.70779649423597,sao paulo,SP
4782,-23.693985995008337,-46.70188324132953,sao paulo,SP
4761,-23.662593167638065,-46.71798316763807,sao paulo,SP
4880,-23.788251,-46.76573024999998,são paulo,SP
4849,-23.740974,-46.67018849999998,são paulo,SP
4850,-23.746252526227707,-46.677001782820696,são paulo,SP
4844,-23.74981810254469,-46.69876375197105,sao paulo,SP
4809,-23.71992046378896,-46.693208556754605,sao paulo,SP
4805,-23.71535119900167,-46.70368050721337,sao paulo,SP
4857,-23.7836170269202,-46.68314048987244,sao paulo,SP
4820,-23.734658908426308,-46.68685840272085,sao paulo,SP
4811,-23.70965016443733,-46.69257464205786,sao paulo,SP
4858,-23.7731727105142,-46.717809538432725,sao paulo,SP
4823,-23.725829378296496,-46.69231989286743,sao paulo,SP
4854,-23.56810218341981,-46.68548426098767,sao paulo,SP
4840,-23.75343690793141,-46.68440911120355,sao paulo,SP
4949,-23.72079664946044,-46.76943335997462,são paulo,SP
4917,-23.68726696641469,-46.74885508979163,sao paulo,SP
4918,-23.68998492426291,-46.74113023496364,sao paulo,SP
4960,-23.726413791563274,-46.787813649316185,sao paulo,SP
4938,-23.688754983351576,-46.761048796006655,sao paulo,SP
4916,-23.685018180968267,-46.751723177765605,sao paulo,SP
5018,-23.534811000000005,-46.68102,sao paulo,SP
5051,-23.52707749624909,-46.696482,sao paulo,SP
5013,-23.53844953621104,-46.66877617459164,sao paulo,SP
5025,-23.53206184041201,-46.68902834471118,sao paulo,SP
5011,-23.529787260892157,-46.69112833596861,são paulo,SP
5037,-23.513829506520867,-46.689392687344906,são paulo,SP
5017,-23.537309857060443,-46.6787664476888,sao paulo,SP
5015,-23.53152002775692,-46.66820714862372,sao paulo,SP
5060,-23.526613801835047,-46.70649280252754,sao paulo,SP
5092,-23.511502314851025,-46.71448715742552,são paulo,SP
5008,-23.530915571469773,-46.68060941548848,são paulo,SP
5141,-23.49065997530149,-46.7284764394945,sao paulo,SP
5145,-23.506049208479613,-46.71737739541604,sao paulo,SP
5182,-23.448870827370275,-46.74639311365343,sao paulo,SP
5126,-23.50126797890817,-46.73964800083672,sao paulo,SP
5138,-23.485253731057767,-46.73312974854289,são paulo,SP
5185,-23.44697897307979,-46.7472294060534,sao paulo,SP
5101,-23.50403914126612,-46.7311139948641,sao paulo,SP
5181,-23.45543839716661,-46.74349258148175,sao paulo,SP
5128,-23.49375734722135,-46.74053054079866,sao paulo,SP
5127,-23.49599428336896,-46.74245332431184,sao paulo,SP
5119,-23.488074618096828,-46.738052916180976,sao paulo,SP
5203,-23.406404972243077,-46.74298263197527,são paulo,SP
5265,-23.449902150152923,-46.7894070051359,são paulo,SP
5396,-23.57520734776961,-46.77326426839399,sao paulo,SP
5303,-23.526508568411355,-46.731702782676464,sao paulo,SP
5302,-23.532125805701536,-46.725699251889765,sao paulo,SP
5345,-23.550858000000005,-46.74574296003805,sao paulo,SP
5353,-23.55911865889549,-46.75165994171618,sao paulo,SP
5374,-23.581576372468103,-46.760100861792296,sao paulo,SP
5360,-23.56515356374397,-46.74203690618277,são paulo,SP
5344,-23.55437923175025,-46.74577458145309,sao paulo,SP
5352,-23.55460557353736,-46.75819126121707,sao paulo,SP
5335,-23.54685622412373,-46.7545319612685,sao paulo,SP
5382,-23.57336803774024,-46.76341375867046,sao paulo,SP
5351,-23.55810175353457,-46.75729204524208,sao paulo,SP
5387,-23.565432284004267,-46.76565775973874,sao paulo,SP
5362,-23.57226677617729,-46.74167015632205,sao paulo,SP
5428,-23.55998249125743,-46.697973427289455,sao paulo,SP
5409,-23.555476749379626,-46.67548530850014,são paulo,SP
5405,-23.558694767701493,-46.67321481960865,são paulo,SP
5416,-23.555014909804324,-46.69227418471917,sao paulo,SP
5415,-23.563965740492826,-46.68179815445209,são paulo,SP
5424,-23.571257720785987,-46.69633123175024,são paulo,SP
5410,-23.55465034014197,-46.67437133298891,sao paulo,SP
5438,-23.546250681920554,-46.69099640132154,são paulo,SP
5432,-23.551567250620376,-46.69325969149985,são paulo,SP
5455,-23.53689213711117,-46.71311138051819,sao paulo,SP
5577,-23.583555000000004,-46.77799049999999,sao paulo,SP
5588,-23.575745041924048,-46.74085825118136,sao paulo,SP
5595,-23.58085566165113,-46.742443261595774,sao paulo,SP
5596,-23.581213700530878,-46.74534960006341,sao paulo,SP
5587,-23.570940477667424,-46.73152324285876,sao paulo,SP
5541,-23.588181691095816,-46.74083315667377,sao paulo,SP
5537,-23.58374909221269,-46.73472062372479,sao paulo,SP
5523,-23.592829588954924,-46.739791172918174,sao paulo,SP
5530,-23.577073040798663,-46.7199426382077,sao paulo,SP
5581,-23.57324153263301,-46.72474234096028,sao paulo,SP
5503,-23.571084458220376,-46.70899251887011,são paulo,SP
5501,-23.570563118857315,-46.70599888994074,sao paulo,SP
5617,-23.59021834107512,-46.71979531644974,sao paulo,SP
5676,-23.59906476602805,-46.697072825148574,sao paulo,SP
5625,-23.591119945322877,-46.72995539425242,sao paulo,SP
5633,-23.59958030169083,-46.74046628296493,são paulo,SP
5634,-23.608349214265107,-46.73536441534424,sao paulo,SP
5658,-23.604142379681463,-46.72178356134224,sao paulo,SP
5622,-23.60455308964741,-46.72609100389514,são paulo,SP
5684,-23.606085782107137,-46.70428514925532,sao paulo,SP
5741,-23.61182165306711,-46.74705040161001,sao paulo,SP
